"ID_REF"	"GSM322969"	"GSM323054"	"GSM323523"	"GSM323524"	"GSM323525"	"GSM323526"	"GSM323527"	"GSM323528"	"GSM323529"	"GSM323530"	"GSM323531"	"GSM323554"	"GSM323555"	"GSM323557"	"GSM323558"	"GSM323559"	"GSM323560"	"GSM323561"	"GSM323562"	"GSM323563"	"GSM323564"	"GSM323565"	"GSM323566"	"GSM323567"	"GSM323569"
"221514_at"	175.33	110.38	202.44	187.55	165.5	169.53	171.7	168.58	173.9	157.3	202.39	159.53	171.16	170.65	206.73	183.8	168.72	167.98	188.68	142.14	144.14	138.52	149.95	139.94	198.84
"221515_s_at"	501.12	507.36	536.38	534.42	620.38	512.22	477.37	502.8	557.11	517.37	512.66	541.92	480.94	505.13	629.23	528.24	461.7	460.99	570.6	635.2	508.28	692.82	723.37	780.57	736.49
"221516_s_at"	504.46	623.4	661.7	556.99	597.43	547.24	578.97	463.3	718.12	614.08	654.18	555.19	613.81	596.81	702.24	644.96	522.52	626.71	689.65	737.27	539.25	650.36	590.48	695.5	549.61
"221517_s_at"	335.97	342.19	349.25	296.03	355.44	308.7	307.22	392.53	346.2	319.57	431.54	370.61	349.86	315.41	293.38	347.97	316.37	419.26	266.12	258.51	329	330.61	310.54	336.11	442.4
"221518_s_at"	505.73	586.79	709.59	658.41	588.97	705.08	617.29	704.14	717.07	581.71	539.49	605.35	666.67	607.88	865.44	692.2	629.15	750.13	734.74	791.82	842.29	448.69	863.76	752.88	354.52
"221519_at"	333.82	380.6	435.81	342.01	444.28	478.93	417.76	432.91	422.66	426.89	329.12	375.56	481.88	404.99	464.38	445.27	422.03	336.63	432.61	532	518.15	427.92	389.78	450.13	343.48
"221520_s_at"	338.47	322.73	270.5	304.98	327.18	343.73	460.98	398.4	262.32	350.58	305.5	320.84	337.21	392.99	296.45	301.01	279.21	395.85	280.6	361.59	309.98	365.46	291.39	308.07	379.31
"221521_s_at"	180.88	163.16	165.26	155.39	186.48	193.02	184.26	175.64	140.97	178.09	213.17	167.86	175.55	174.55	160.67	137.66	179.73	151.74	167.43	201.14	208.22	186.68	204.81	144.76	284.87
"221522_at"	168.79	260.9	352.45	244.91	244.18	255.22	240.41	292.12	224.37	241.06	242.73	227.87	284.24	232.15	283.09	220.61	257.13	263.68	276.39	268.67	257.33	349.56	408.41	314.4	338.77
"221523_s_at"	258.51	424.95	426.1	388.65	422.75	414.12	497.51	488.69	498.58	434.57	348.38	384.05	463.67	403.92	509.85	512	418.41	560.62	358.32	326.45	672.3	806.46	700.24	860.88	477.53
"221524_s_at"	320.95	445.1	441.02	380.45	486.52	392.31	659.99	734.38	350.68	435.59	377.46	351.68	460.71	384.27	475.99	428.87	437.62	390.18	331.63	394.1	1140.23	880.13	751.27	551.47	319.01
"221525_at"	258.42	273.6	293.07	276.84	285.77	349.89	281.98	262.37	298.08	297.43	252.8	295.97	296.89	375.41	404.94	356.14	342.63	265.23	278.98	449.41	334.2	334.08	318.17	293.1	470.83
"221526_x_at"	231.72	259.2	363.7	311.26	210.5	358.42	322.93	486.46	237.26	280.78	194.01	252.11	238.57	311.4	390.96	272.41	276.4	194.88	210.85	232.09	323.4	136.8	157.38	123.47	153.7
"221527_s_at"	359.43	431.65	520.84	481.11	425.26	746.53	441.94	630.88	452.88	533.21	411.48	403.73	464.42	542.08	667.68	474.21	437.06	470.24	413.95	614.45	558.71	409.89	479.17	420.4	339.31
"221528_s_at"	507.91	554.64	533.43	513.79	465.26	508.89	463.85	506.05	532.17	480.09	428.22	436.64	665.48	468.8	504.12	507.1	589.67	491.21	426.32	430.68	520.93	1032.44	679.56	781.84	599.77
"221529_s_at"	274.16	249.06	234.03	411.49	286.74	269.83	396.13	298.03	224.58	293.84	277.87	266.74	297.36	296.85	222.8	230.08	456.92	262.09	302.9	379.2	265.37	227.11	220.65	211.08	300.32
"221530_s_at"	1423.66	1013.63	1176.51	1171.05	1016.55	1366.63	1713.45	1783.73	905.09	696.61	606.23	1031.94	1090.31	1163.65	1469.27	729.22	1696.77	1167.99	1147.42	1168.72	1594.23	698.18	1210.1	993.55	256.78
"221531_at"	281.39	264.81	330.96	304.78	354.33	240.09	221.59	237.42	354.84	287.6	352.14	314.37	314.58	240.63	226.35	326.02	361.19	452.57	342.96	203.19	207.67	307.17	236.62	358.06	280.55
"221532_s_at"	544.75	527.53	709.07	579.49	682.72	481.82	485.76	496.23	725.35	571.52	636.18	648	626.1	480.84	512.92	657.67	702.82	884.49	676.97	420.99	456.46	548.73	571.14	665.98	517.6
"221533_at"	171.85	160.86	167.32	148.05	173.19	184	204.39	191.13	157	210.57	157.45	175.11	174.46	196.31	158.45	161.02	162.71	195.01	153.03	188.43	180.97	209.1	174.48	184.92	173.15
